======== Coverage for /home/runner/work/avalanche/avalanche/avalanche/ =========
------------------------------ Detailed Coverage -------------------------------
| Name                                                                                 |  Status |
| benchmarks/datasets/stream51/stream51.py (module)                                    | COVERED |
|   Stream51 (L37)                                                                     | COVERED |
|     Stream51.__init__ (L40)                                                          | COVERED |
|     Stream51.make_dataset (L186)                                                     | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/stream51/stream51_data.py (module)                               |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/datasets/tiny_imagenet/tiny_imagenet.py (module)                          | COVERED |
|   TinyImagenet (L27)                                                                 | COVERED |
|     TinyImagenet.__init__ (L36)                                                      | COVERED |
|     TinyImagenet.labels2dict (L82)                                                   | COVERED |
|     TinyImagenet.load_data (L105)                                                    | COVERED |
|     TinyImagenet.get_train_images_paths (L131)                                       | COVERED |
|     TinyImagenet.get_test_images_paths (L145)                                        | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/generators/benchmark_generators.py (module)                               | COVERED |
|   nc_benchmark (L78)                                                                 | COVERED |
|   ni_benchmark (L284)                                                                | COVERED |
|   fixed_size_experience_split_strategy (L466)                                        | COVERED |
|   data_incremental_benchmark (L563)                                                  | COVERED |
|     data_incremental_benchmark.fixed_size_experience_split_strategy_wrapper (L659)   |  MISSED |
|   random_validation_split_strategy (L724)                                            | COVERED |
|   class_balanced_split_strategy (L781)                                               | COVERED |
|   benchmark_with_validation_stream (L877)                                            | COVERED |
|     benchmark_with_validation_stream.random_validation_split_strategy_wrapper (L993) |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/generators/scenario_generators.py (module)                                | COVERED |
|   nc_scenario (L43)                                                                  | COVERED |
|   ni_scenario (L161)                                                                 | COVERED |
|   dataset_scenario (L248)                                                            | COVERED |
|   filelist_scenario (L307)                                                           | COVERED |
|   paths_scenario (L393)                                                              | COVERED |
|   tensors_scenario (L485)                                                            | COVERED |
|   tensor_scenario (L572)                                                             | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/scenarios/benchmark_wrapper_utils.py (module)                             |  MISSED |
|   ExperienceWrapper (L26)                                                            | COVERED |
|     ExperienceWrapper.__init__ (L35)                                                 |  MISSED |
|     ExperienceWrapper.task_labels (L54)                                              |  MISSED |
|   CLStreamWrapper (L58)                                                              | COVERED |
|     CLStreamWrapper.__init__ (L66)                                                   |  MISSED |
|   SizedCLStreamWrapper (L93)                                                         | COVERED |
|     SizedCLStreamWrapper.__init__ (L101)                                             |  MISSED |
|   SequenceStreamWrapper (L115)                                                       | COVERED |
|     SequenceStreamWrapper.__init__ (L123)                                            |  MISSED |
|   wrap_stream (L149)                                                                 | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/scenarios/classification_scenario.py (module)                             |  MISSED |
|   ClassificationScenario (L72)                                                       | COVERED |
|     ClassificationScenario.__init__ (L83)                                            | COVERED |
|     ClassificationScenario.classes_in_experience (L124)                              |  MISSED |
|   ClassificationStream (L131)                                                        |  MISSED |
|     ClassificationStream.__init__ (L132)                                             |  MISSED |
|   ClassificationExperience (L149)                                                    | COVERED |
|     ClassificationExperience.__init__ (L159)                                         | COVERED |
|     ClassificationExperience.benchmark (L199)                                        |  MISSED |
|     ClassificationExperience.benchmark (L205)                                        |  MISSED |
|     ClassificationExperience.task_labels (L212)                                      |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/scenarios/dataset_scenario.py (module)                                    |  MISSED |
|   StreamUserDef (L71)                                                                |  MISSED |
|   StreamDef (L80)                                                                    |  MISSED |
|   DatasetScenario (L100)                                                             | COVERED |
|     DatasetScenario.__init__ (L123)                                                  | COVERED |
|     DatasetScenario.n_experiences (L254)                                             | COVERED |
|     DatasetScenario.task_labels (L260)                                               | COVERED |
|     DatasetScenario.get_reproducibility_data (L269)                                  | COVERED |
|   ClassesTimelineCLScenario (L480)                                                   |  MISSED |
|     ClassesTimelineCLScenario.classes_in_experience (L485)                           | COVERED |
|     ClassesTimelineCLScenario.get_classes_timeline (L501)                            | COVERED |
|   DatasetStream (L582)                                                               | COVERED |
|     DatasetStream.__init__ (L591)                                                    |  MISSED |
|     DatasetStream.drop_previous_experiences (L608)                                   | COVERED |
|   FactoryBasedStream (L643)                                                          |  MISSED |
|     FactoryBasedStream.__init__ (L644)                                               |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/scenarios/detection_scenario.py (module)                                  |  MISSED |
|   DetectionScenario (L72)                                                            | COVERED |
|     DetectionScenario.__init__ (L81)                                                 | COVERED |
|     DetectionScenario.classes_in_experience (L128)                                   |  MISSED |
|   DetectionStream (L135)                                                             |  MISSED |
|     DetectionStream.__init__ (L136)                                                  |  MISSED |
|   DetectionExperience (L153)                                                         | COVERED |
|     DetectionExperience.__init__ (L163)                                              | COVERED |
|     DetectionExperience.benchmark (L203)                                             |  MISSED |
|     DetectionExperience.benchmark (L209)                                             |  MISSED |
|     DetectionExperience.task_labels (L216)                                           |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/scenarios/exmodel_scenario.py (module)                                    |  MISSED |
|   ExModelExperience (L20)                                                            | COVERED |
|     ExModelExperience.__init__ (L27)                                                 |  MISSED |
|   ExModelCLScenario (L41)                                                            | COVERED |
|     ExModelCLScenario.__init__ (L55)                                                 | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/scenarios/generic_benchmark_creation.py (module)                          | COVERED |
|   create_multi_dataset_generic_benchmark (L46)                                       | COVERED |
|   LazyStreamDefinition (L185)                                                        | COVERED |
|   create_lazy_generic_benchmark (L226)                                               | COVERED |
|   create_generic_benchmark_from_filelists (L365)                                     | COVERED |
|   create_generic_benchmark_from_paths (L492)                                         | COVERED |
|   create_generic_benchmark_from_tensor_lists (L616)                                  | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/scenarios/generic_scenario.py (module)                                    |  MISSED |
|   MaskedAttributeError (L76)                                                         | COVERED |
|   ExperienceMode (L83)                                                               | COVERED |
|   ExperienceAttribute (L100)                                                         | COVERED |
|     ExperienceAttribute.__init__ (L109)                                              | COVERED |
|   CLExperience (L131)                                                                | COVERED |
|     CLExperience.__init__ (L139)                                                     |  MISSED |
|     CLExperience.current_experience (L160)                                           |  MISSED |
|     CLExperience.current_experience (L166)                                           |  MISSED |
|     CLExperience.origin_stream (L170)                                                |  MISSED |
|     CLExperience.origin_stream (L176)                                                |  MISSED |
|     CLExperience.no_attribute_masking (L180)                                         |  MISSED |
|     CLExperience.are_attributes_masked (L190)                                        |  MISSED |
|     CLExperience.train (L266)                                                        | COVERED |
|     CLExperience.eval (L276)                                                         | COVERED |
|     CLExperience.logging (L286)                                                      | COVERED |
|   DatasetExperience (L305)                                                           | COVERED |
|     DatasetExperience.__init__ (L312)                                                |  MISSED |
|     DatasetExperience.benchmark (L327)                                               |  MISSED |
|     DatasetExperience.benchmark (L333)                                               |  MISSED |
|     DatasetExperience.dataset (L337)                                                 |  MISSED |
|     DatasetExperience.dataset (L343)                                                 |  MISSED |
|     DatasetExperience.scenario (L347)                                                | COVERED |
|     DatasetExperience.task_label (L357)                                              | COVERED |
|     DatasetExperience.task_labels (L375)                                             |  MISSED |
|   AbstractClassTimelineExperience (L388)                                             | COVERED |
|     AbstractClassTimelineExperience.__init__ (L401)                                  | COVERED |
|   GeneratorMemo (L445)                                                               |  MISSED |
|     GeneratorMemo.__init__ (L446)                                                    |  MISSED |
|   CLStream (L468)                                                                    | COVERED |
|     CLStream.__init__ (L478)                                                         | COVERED |
|   SizedCLStream (L529)                                                               | COVERED |
|     SizedCLStream.__init__ (L535)                                                    |  MISSED |
|   SequenceCLStream (L559)                                                            | COVERED |
|     SequenceCLStream.__init__ (L568)                                                 |  MISSED |
|   EagerCLStream (L691)                                                               | COVERED |
|     EagerCLStream.__init__ (L699)                                                    | COVERED |
|     EagerCLStream.exps (L737)                                                        |  MISSED |
|   CLScenario (L747)                                                                  | COVERED |
|     CLScenario.__init__ (L762)                                                       | COVERED |
|     CLScenario.streams (L774)                                                        |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/scenarios/generic_scenario_creation.py (module)                           | COVERED |
|   create_multi_dataset_generic_scenario (L33)                                        | COVERED |
|   create_generic_scenario_from_filelists (L159)                                      | COVERED |
|   create_generic_scenario_from_paths (L252)                                          | COVERED |
|   create_generic_scenario_from_tensor_lists (L351)                                   | COVERED |
|   create_generic_scenario_from_tensors (L450)                                        | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/scenarios/lazy_dataset_sequence.py (module)                               |  MISSED |
|   LazyDatasetSequence (L30)                                                          | COVERED |
|     LazyDatasetSequence.__init__ (L43)                                               |  MISSED |
|     LazyDatasetSequence.get_experience_if_loaded (L162)                              | COVERED |
|     LazyDatasetSequence.drop_previous_experiences (L179)                             | COVERED |
|     LazyDatasetSequence.load_all_experiences (L206)                                  | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/scenarios/online_scenario.py (module)                                     |  MISSED |
|   OnlineCLExperience (L54)                                                           | COVERED |
|     OnlineCLExperience.__init__ (L61)                                                | COVERED |
|     OnlineCLExperience.task_labels (L107)                                            |  MISSED |
|   OnlineClassificationExperience (L111)                                              | COVERED |
|     OnlineClassificationExperience.__init__ (L117)                                   | COVERED |
|   fixed_size_experience_split (L156)                                                 | COVERED |
|   split_online_stream (L250)                                                         | COVERED |
|     split_online_stream.default_online_split_wrapper (L297)                          |  MISSED |
|     split_online_stream.exps_iter (L306)                                             |  MISSED |
|   OnlineCLScenario (L336)                                                            |  MISSED |
|     OnlineCLScenario.__init__ (L337)                                                 | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/scenarios/rl_scenario.py (module)                                         | COVERED |
|   RLExperience (L38)                                                                 | COVERED |
|     RLExperience.__init__ (L46)                                                      |  MISSED |
|     RLExperience.environment (L63)                                                   |  MISSED |
|   RLScenario (L70)                                                                   | COVERED |
|     RLScenario.__init__ (L83)                                                        | COVERED |
|       RLScenario.__init__.get_unique_task_labels (L131)                              |  MISSED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/scenarios/scenario_utils.py (module)                                      | COVERED |
|   train_eval_transforms (L18)                                                        | COVERED |
|--------------------------------------------------------------------------------------|---------|
| benchmarks/scenarios/new_classes/nc_scenario.py (module)                             |  MISSED |
|   NCScenario (L30)                                                                   | COVERED |
|     NCScenario.__init__ (L43)                                                        | COVERED |
|     NCScenario.get_reproducibility_data (L482)                                       |  MISSED |
|     NCScenario.classes_in_exp_range (L499)                                           | COVERED |
